LOG_INTERVAL_USEC,5000
rec#,adc0,adc1,adc2,adc3
0,3643,0,831,0
1,3622,0,2009,0
2,3625,0,2270,0
3,3622,0,2322,0
4,3622,0,2334,0
5,3620,0,2336,0
6,3617,0,2336,0
7,3617,0,2338,0
8,3621,0,2337,0
9,3618,0,2341,0
10,3620,0,2340,0
11,3622,0,2337,0
12,3623,0,2337,0
13,3619,0,2334,0
14,3621,0,2335,0
15,3617,0,2321,0
16,3618,0,2336,0
17,3617,0,2336,0
18,3618,0,2333,0
19,3619,0,2332,0
20,3619,0,2333,0
21,3619,0,2333,0
22,3615,0,2333,0
23,3621,0,2333,0
24,3622,0,2336,0
25,3621,0,2335,0
26,3621,0,2336,0
27,3616,0,2337,0
28,3619,0,2335,0
29,3622,0,2334,0
30,3622,0,2333,0
31,3619,0,2329,0
32,3621,0,2327,0
33,3619,0,2325,0
34,3622,0,2325,0
35,3620,0,2319,0
36,3621,0,2323,0
37,3619,0,2333,0
38,3619,0,2336,0
39,3617,0,2337,0
40,3619,0,2338,0
41,3622,0,2343,0
42,3621,0,2344,0
43,3618,0,2349,0
44,3619,0,2351,0
45,3623,0,2352,0
46,3619,0,2352,0
47,3617,0,2352,0
48,3618,0,2351,0
49,3620,0,2347,0
50,3619,0,2348,0
51,3622,0,2343,0
52,3621,0,2341,0
53,3618,0,2339,0
54,3617,0,2343,0
55,3616,0,2331,0
56,3619,0,2338,0
57,3618,0,2340,0
58,3618,0,2338,0
59,3621,0,2337,0
60,3617,0,2338,0
61,3620,0,2337,0
62,3619,0,2339,0
63,3619,0,2339,0
64,3622,0,2345,0
65,3618,0,2342,0
66,3619,0,2342,0
67,3619,0,2343,0
68,3617,0,2341,0
69,3617,0,2339,0
70,3617,0,2337,0
71,3616,0,2335,0
72,3619,0,2332,0
73,3618,0,2331,0
74,3620,0,2327,0
75,3618,0,2320,0
76,3623,0,2326,0
77,3619,0,2332,0
78,3618,0,2334,0
79,3617,0,2337,0
80,3615,0,2335,0
81,3618,0,2335,0
82,3617,0,2335,0
83,3621,0,2335,0
84,3622,0,2336,0
85,3622,0,2339,0
86,3621,0,2341,0
87,3622,0,2337,0
88,3625,0,2337,0
89,3618,0,2333,0
90,3615,0,2333,0
91,3620,0,2331,0
92,3614,0,2327,0
93,3619,0,2327,0
94,3617,0,2308,0
95,3623,0,2324,0
96,3617,0,2327,0
97,3618,0,2332,0
98,3617,0,2335,0
99,3615,0,2338,0
100,3618,0,2343,0
101,3619,0,2347,0
102,3617,0,2350,0
103,3621,0,2349,0
104,3618,0,2349,0
105,3618,0,2349,0
106,3626,0,2349,0
107,3620,0,2347,0
108,3619,0,2341,0
109,3621,0,2335,0
110,3618,0,2330,0
111,3619,0,2327,0
112,3622,0,2327,0
113,3623,0,2327,0
114,3622,0,2310,0
115,3617,0,2326,0
116,3619,0,2326,0
117,3618,0,2334,0
118,3621,0,2335,0
119,3621,0,2336,0
120,3618,0,2336,0
121,3622,0,2335,0
122,3617,0,2335,0
123,3618,0,2335,0
124,3616,0,2335,0
